Team,gamePlayed,Win,Draw,Loss,GoalFor,GoalAgainst,Points,Year
Liverpool,16,11,4,1,36,15,37,2023
Arsenal,16,11,3,2,33,15,36,2023
Aston Villa,16,11,2,3,35,20,35,2023
Manchester City,16,10,3,3,38,18,33,2023
Tottenham,16,9,3,4,33,23,30,2023
Manchester Utd,16,9,0,7,18,21,27,2023
Newcastle Utd,16,8,2,6,33,21,26,2023
Brighton,16,7,5,4,33,28,26,2023
West Ham,16,7,3,6,26,30,24,2023
Fulham,16,6,3,7,26,26,21,2023
Brentford,16,5,4,7,23,22,19,2023
Chelsea,16,5,4,7,26,26,19,2023
Wolves,16,5,4,7,21,26,19,2023
Bournemouth,16,5,4,7,21,30,19,2023
Crystal Palace,16,4,4,8,15,23,16,2023
Nott'ham Forest,16,3,5,8,17,28,14,2023
Everton,16,7,2,7,20,20,13,2023
Luton Town,16,2,3,11,17,32,9,2023
Burnley,16,2,2,12,16,34,8,2023
Manchester City,38,28,5,5,94,33,89,2022
Arsenal,38,26,6,6,88,43,84,2022
Manchester Utd,38,23,6,9,58,43,75,2022
Newcastle Utd,38,19,14,5,68,33,71,2022
Liverpool,38,19,10,9,75,47,67,2022
Brighton,38,18,8,12,72,53,62,2022
Aston Villa,38,18,7,13,51,46,61,2022
Tottenham,38,18,6,14,70,63,60,2022
Brentford,38,15,14,9,58,46,59,2022
Fulham,38,15,7,16,55,53,52,2022
Crystal Palace,38,11,12,15,40,49,45,2022
Chelsea,38,11,11,16,38,47,44,2022
Wolves,38,11,8,19,31,58,41,2022
West Ham,38,11,7,20,42,55,40,2022
Bournemouth,38,11,6,21,37,71,39,2022
Nott'ham Forest,38,9,11,18,38,68,38,2022
Everton,38,8,12,18,34,57,36,2022
Leicester City,38,9,7,22,51,68,34,2022
Leeds United,38,7,10,21,48,78,31,2022
Southampton,38,6,7,25,36,73,25,2022
Manchester City,38,29,6,3,99,26,93,2021
Liverpool,38,28,8,2,94,26,92,2021
Chelsea,38,21,11,6,76,33,74,2021
Tottenham,38,22,5,11,69,40,71,2021
Arsenal,38,22,3,13,61,48,69,2021
Manchester Utd,38,16,10,12,57,57,58,2021
West Ham,38,16,8,14,60,51,56,2021
Leicester City,38,14,10,14,62,59,52,2021
Brighton,38,12,15,11,42,44,51,2021
Wolves,38,15,6,17,38,43,51,2021
Newcastle Utd,38,13,10,15,44,62,49,2021
Crystal Palace,38,11,15,12,50,46,48,2021
Brentford,38,13,7,18,48,56,46,2021
Aston Villa,38,13,6,19,52,54,45,2021
Southampton,38,9,13,16,43,67,40,2021
Everton,38,11,6,21,43,66,39,2021
Leeds United,38,9,11,18,42,79,38,2021
Burnley,38,7,14,17,34,53,35,2021
Watford,38,6,5,27,34,77,23,2021
Norwich City,38,5,7,26,23,84,22,2021
